stop_loss_pct,take_profit_pct,position_size_pct,win_rate,profit_factor,total_pnl,total_trades,return_pct,sharpe_ratio,max_drawdown,trial_number,score
0.005886296882857671,0.010084934911916624,0.018011773633909597,50.0,1.3614052261497633,1.1592084932742457,6,0.011592084932742457,2.341506203442727,-0.014215221691083526,60,0.34818689095470734
0.005787981211091209,0.010138434214387843,0.01824110290039335,50.0,1.358375849158649,1.1744478050778615,6,0.011744478050778615,2.3385009067942315,-0.014216694581870182,61,0.347884562828068
0.005959582739062049,0.010031120983613015,0.017164867953491033,50.0,1.3413092968406253,1.051857428443857,6,0.010518574284438571,2.228217634555891,-0.013672748213166044,63,0.3461730039812003
0.006084694892096406,0.010004121259977593,0.017922978585351593,50.0,1.3184148727236085,1.0389237400715325,6,0.010389237400715326,2.0967370610913525,-0.014501086927639474,62,0.3438830442219637
0.006108151218021705,0.01038419130437493,0.01417353508195663,50.0,1.31835132388634,0.8604819513160574,6,0.008604819513160574,2.121541148815866,-0.011500773983401455,97,0.3438695516666867
0.006212097546322877,0.010001465506734745,0.018220089057214908,50.0,1.2997785419463823,1.00824957567432,6,0.0100824957567432,1.987793307387437,-0.014973833361106496,58,0.3420181841776652
0.006726433241242276,0.010516991303959593,0.011748912388740452,50.0,1.2156796843567497,0.5323538842522751,6,0.005323538842522751,1.5091797717080793,-0.010260512789238794,82,0.3335892625910451
0.00670329241353276,0.010071547568494207,0.015809717671473496,50.0,1.1945992920292656,0.6233273138390641,6,0.006233273138390641,1.3621980770925146,-0.013770257303075737,66,0.33148486229548013
0.007812036766405851,0.010146090624511644,0.012405052877563352,50.0,1.0227952240667997,0.06753318991078097,6,0.0006753318991078097,0.17515289688165694,-0.012181574365302905,81,0.31428222373427644
0.008029225889840463,0.010091413173333777,0.01138980129177674,50.0,0.997788202751682,-0.00612578776698456,6,-6.12578776698456e-05,-0.016346317130965047,-0.01143223412830377,67,0.31177882027516823
0.008068641420251587,0.010071326439357998,0.011548242441649433,50.0,0.992093126920065,-0.022275465364056803,6,-0.00022275465364056805,-0.06051561340472079,-0.01163682908063946,68,0.3112093126920065
0.008072876132719866,0.0100125955056497,0.012065219129091333,50.0,0.9845276085282255,-0.04555644502326868,6,-0.0004555644502326868,-0.11954721757998503,-0.012162885882100254,71,0.3104527608528226
0.005050655049033773,0.012159683619774889,0.022923991241326932,37.5,0.9536071305178534,-0.33978761740741664,8,-0.0033978761740741663,-0.3626576725610784,-0.04089527189911902,36,0.2613607130517854
0.007669314202211363,0.010899261811913833,0.01257072584072205,42.857142857142854,0.7536413982456956,-1.0965775710821768,7,-0.010965775710821768,-2.2350166525943513,-0.021144116102451135,78,0.260792711253141
0.007638395756474832,0.0107359859241404,0.012126216833009087,42.857142857142854,0.7417609511277531,-1.1059023013604563,7,-0.011059023013604563,-2.3615052445300626,-0.020519589849809262,86,0.25960466654134673
0.005038061818632535,0.011940256995012511,0.0226288276591582,37.5,0.9344909387797522,-0.4728665772667523,8,-0.004728665772667523,-0.5190502873759617,-0.040311802927370334,35,0.25944909387797527
0.005044643340908014,0.011786725788722474,0.03386583785672401,37.5,0.9192217408554967,-0.8734255957750493,8,-0.008734255957750493,-0.6460342913175798,-0.06037048794654788,41,0.2579221740855497
0.005148511604368825,0.01189920806821706,0.032585052349629884,37.5,0.9178467419205325,-0.8658162236526786,8,-0.008658162236526787,-0.6574935459147222,-0.058764411156832196,40,0.25778467419205325
0.005140433562258189,0.011667193189658588,0.019677881202266975,37.5,0.8973242658798359,-0.6527468547005236,8,-0.006527468547005236,-0.8341532419451867,-0.03545828064924527,34,0.2557324265879836
0.005258108944488059,0.011593606235671901,0.021771653152974236,37.5,0.8776921307311631,-0.8728323886118593,8,-0.008728323886118593,-1.0063464916828615,-0.03974292309939354,38,0.25376921307311634
0.008670033253962392,0.010549726491202826,0.011150283265414722,42.857142857142854,0.6804536632400108,-1.3424200436579599,7,-0.0134242004365796,-3.0193230044436707,-0.02055716412455135,72,0.2534739377525725
0.009018870037516155,0.01076517440922288,0.015547413140881292,42.857142857142854,0.6714754881453291,-1.999215467055348,7,-0.01999215467055348,-3.1280036119156684,-0.030062480249199327,69,0.25257612024310433
0.00621717454083505,0.01231017429370017,0.04149449959003679,37.5,0.844270173500407,-2.3663737164836918,8,-0.02366373716483692,-1.3054193299919838,-0.08369251023736683,45,0.25042701735004075
0.0050139117353648404,0.010913112300628492,0.021345139597585813,37.5,0.8404964278574646,-1.0826864710682442,8,-0.010826864710682442,-1.3472613452164954,-0.03792220138897067,51,0.2500496427857465
0.008335706739319163,0.010013869469303723,0.011206101153447973,42.857142857142854,0.6423854833721744,-1.4990924070412424,7,-0.014990924070412423,-3.491030164218775,-0.02133505976934634,91,0.24966711976578887
0.00600825830732272,0.011885439162850106,0.01475563816558623,37.5,0.8285767766462403,-0.9049672625973817,8,-0.009049672625973816,-1.4552722624050811,-0.029150106452529256,98,0.24885767766462408
0.005507303524050489,0.011032087915280656,0.014179455357692787,37.5,0.8019796008157642,-0.9482713234553611,8,-0.009482713234553611,-1.7152947342335398,-0.026591523666430382,99,0.24619796008157646
0.005747712240627805,0.011263178962322708,0.008698641933985434,37.5,0.7997551210699737,-0.6050022884891623,8,-0.006050022884891623,-1.7360979781056538,-0.01673178943830733,80,0.24597551210699742
0.006275449208592565,0.01174393647330824,0.018933340555957374,37.5,0.7930020852166445,-1.4440736715258269,8,-0.014440736715258268,-1.7993413331004202,-0.038413809278909195,52,0.24530020852166445
